pretax_income,tax,after_tax_income
622000.0,226439.0,395561.0
623000.0,226987.0,396013.0
624000.0,227534.0,396466.0
625000.0,228081.0,396919.0
626000.0,228628.0,397372.0
627000.0,229176.0,397824.0
628000.0,229723.0,398277.0
629000.0,230270.0,398730.0
630000.0,230818.0,399182.0
631000.0,231365.0,399635.0
632000.0,231912.0,400088.0
633000.0,232459.0,400541.0
634000.0,233007.0,400993.0
635000.0,233554.0,401446.0
636000.0,234101.0,401899.0
637000.0,234648.0,402352.0
638000.0,235196.0,402804.0
639000.0,235743.0,403257.0
640000.0,236290.0,403710.0
641000.0,236837.0,404163.0
642000.0,237385.0,404615.0
643000.0,237932.0,405068.0
644000.0,238479.0,405521.0
645000.0,239027.0,405973.0
646000.0,239574.0,406426.0
647000.0,240121.0,406879.0
648000.0,240668.0,407332.0
649000.0,241216.0,407784.0
650000.0,241763.0,408237.0
651000.0,242310.0,408690.0
652000.0,242857.0,409143.0
653000.0,243405.0,409595.0
654000.0,243952.0,410048.0
655000.0,244499.0,410501.0
656000.0,245047.0,410953.0
657000.0,245594.0,411406.0
658000.0,246141.0,411859.0
659000.0,246688.0,412312.0
660000.0,247236.0,412764.0
661000.0,247783.0,413217.0
662000.0,248330.0,413670.0
663000.0,248877.0,414123.0
664000.0,249425.0,414575.0
665000.0,249972.0,415028.0
666000.0,250519.0,415481.0
667000.0,251066.0,415934.0
668000.0,251614.0,416386.0
669000.0,252161.0,416839.0
670000.0,252708.0,417292.0
671000.0,253256.0,417744.0
672000.0,253803.0,418197.0
673000.0,254350.0,418650.0
674000.0,254897.0,419103.0
675000.0,255445.0,419555.0
676000.0,255992.0,420008.0
677000.0,256539.0,420461.0
678000.0,257086.0,420914.0
679000.0,257634.0,421366.0
680000.0,258181.0,421819.0
681000.0,258728.0,422272.0
682000.0,259275.0,422725.0
683000.0,259823.0,423177.0
684000.0,260370.0,423630.0
685000.0,260917.0,424083.0
686000.0,261465.0,424535.0
687000.0,262012.0,424988.0
688000.0,262559.0,425441.0
689000.0,263106.0,425894.0
690000.0,263654.0,426346.0
691000.0,264201.0,426799.0
692000.0,264748.0,427252.0
693000.0,265295.0,427705.0
694000.0,265843.0,428157.0
695000.0,266390.0,428610.0
696000.0,266937.0,429063.0
697000.0,267484.0,429516.0
698000.0,268032.0,429968.0
699000.0,268579.0,430421.0
700000.0,269126.0,430874.0
701000.0,269674.0,431326.0
702000.0,270221.0,431779.0
703000.0,270768.0,432232.0
704000.0,271315.0,432685.0
705000.0,271863.0,433137.0
706000.0,272410.0,433590.0
707000.0,272957.0,434043.0
708000.0,273504.0,434496.0
709000.0,274052.0,434948.0
710000.0,274599.0,435401.0
711000.0,275146.0,435854.0
712000.0,275694.0,436306.0
713000.0,276241.0,436759.0
714000.0,276788.0,437212.0
715000.0,277335.0,437665.0
716000.0,277883.0,438117.0
717000.0,278430.0,438570.0
718000.0,278977.0,439023.0
719000.0,279524.0,439476.0
720000.0,280072.0,439928.0
721000.0,280619.0,440381.0
